time,lat,lon,sst
2015-01-01,29.5,40.5,20.609999
2015-01-01,29.5,41.5,20.32
2015-01-01,29.5,42.5,20.039999
2015-01-01,29.5,43.5,19.76
2015-01-01,29.5,44.5,19.47
2015-01-01,29.5,45.5,19.189999
2015-01-01,29.5,46.5,18.9
2015-01-01,29.5,47.5,18.57
2015-01-01,29.5,48.5,18.449999
2015-01-01,29.5,49.5,18.91
2015-01-01,29.5,50.5,19.43
2015-01-01,29.5,51.5,19.74
2015-01-01,29.5,52.5,20.23
2015-01-01,29.5,53.5,20.33
2015-01-01,29.5,54.5,20.67
2015-01-01,29.5,55.5,21.35
2015-01-01,29.5,56.5,21.75
2015-01-01,29.5,57.5,21.82
2015-01-01,29.5,58.5,21.83
2015-01-01,29.5,59.5,21.859999
2015-01-01,29.5,60.5,21.9
2015-01-01,29.5,61.5,21.939999
2015-01-01,29.5,62.5,21.96
2015-01-01,29.5,63.5,21.93
2015-01-01,29.5,64.5,21.81
2015-01-01,29.5,65.5,21.57
2015-01-01,29.5,66.5,21.15
2015-01-01,29.5,67.5,20.43
2015-01-01,29.5,68.5,19.59
2015-01-01,29.5,69.5,18.98
2015-01-01,29.5,70.5,18.71
2015-01-01,29.5,71.5,18.609999
2015-01-01,29.5,72.5,18.56
2015-01-01,29.5,73.5,18.52
2015-01-01,29.5,74.5,18.48
2015-01-01,29.5,75.5,18.44
2015-01-01,29.5,76.5,18.38
2015-01-01,29.5,77.5,18.33
2015-01-01,29.5,78.5,18.279999
2015-01-01,29.5,79.5,18.23
2015-01-01,29.5,80.5,18.17
2015-01-01,29.5,81.5,18.119999
2015-01-01,29.5,82.5,18.07
2015-01-01,29.5,83.5,18.01
2015-01-01,29.5,84.5,17.96
2015-01-01,29.5,85.5,17.91
2015-01-01,29.5,86.5,17.859999
2015-01-01,29.5,87.5,17.8
2015-01-01,29.5,88.5,17.75
2015-01-01,29.5,89.5,17.699999
2015-01-01,29.5,90.5,17.64
2015-01-01,29.5,91.5,17.59
2015-01-01,29.5,92.5,17.539999
2015-01-01,29.5,93.5,17.49
2015-01-01,29.5,94.5,17.43
2015-01-01,29.5,95.5,17.38
